career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,skills_parsed,skills_count,related_skills_parsed,matched_score,job_target,min_years_exp_req,match_category,degree_first,major_first,position_last,overlap_with_job_skills,kkni_level_inferred
,"['QuickBooks', 'Sage', 'Lacerte', 'Intuit ProSeries', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Microsoft Outlook', 'Microsoft Power Pivot', 'Microsoft PowerPoint', 'CalBench', 'FASB & GAAP standards', 'Sarbanes-Oxley', 'Generally Accepted Auditing Standards']","['LIU', 'Hunter College']","['Master of Science', 'Bachelor of Science']","['Present', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']","['Taxation', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['January 2016', 'February 2015', 'May 2010', 'September 1996']","['Current', 'January 2016', 'August 2011', 'March 2004']","[['cash receipts', 'A/R', 'A/P', 'notes payable', 'interest payable', 'unearned revenues', 'legal services', 'revenues', 'expenses', 'office supplies', 'insurance', 'payroll processing', 'petty cash', 'reconciliation', 'financial statement analysis', 'tax returns'], ['A/R', 'A/P', 'tangible assets', 'revenue', 'expenses', 'COGS', 'depreciation', 'advertising', 'inventory', 'intangible assets', 'line of credit', 'bad debts', 'credit card transactions', 'financial statements'], ['stocking', 'customer relations', 'loading/unloading', 'order picking/packing'], ['business operations', 'workforce management', 'customer satisfaction', 'social networking']]","['Accountant', 'Accounting Assistant', 'Stock Clerk', 'Restaurant Operations Manager']","['City, State', 'City, State', 'City, State', 'City, State']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","['quickbooks', 'sage', 'lacerte', 'intuit proseries', 'microsoft word', 'microsoft excel', 'microsoft access', 'microsoft outlook', 'microsoft power pivot', 'microsoft powerpoint', 'calbench', 'fasb & gaap standards', 'sarbanes-oxley', 'generally accepted auditing standards']",14,"['depreciation', 'bad debts', 'inventory', 'a/p', 'insurance', 'order picking/packing', 'reconciliation', 'stocking', 'line of credit', 'unearned revenues', 'credit card transactions', 'office supplies', 'tangible assets', 'legal services', 'financial statement analysis', 'business operations', 'workforce management', 'a/r', 'revenues', 'notes payable', 'revenue', 'advertising', 'social networking', 'expenses', 'cash receipts', 'cogs', 'petty cash', 'intangible assets', 'financial statements', 'customer relations', 'loading/unloading', 'interest payable', 'customer satisfaction', 'payroll processing', 'tax returns']",0.85,Executive - VAT,1.0,High Match,Master of Science,Taxation,Accountant,0,5.0
,"['budget', 'business strategy', 'consultation', 'Customer Relationship Management', 'delivery', 'direct mail', 'directing', 'Driving', 'email', 'senior management', 'Forecasting', 'graphic design', 'graphic', 'image', 'inside sales', 'inventory', 'Marketing Strategy', 'marketing', 'market', 'Marketing & Sales', 'mentor', 'New Business Development', 'Optimization', 'policies', 'presentations', 'Sales', 'strategy']",['Wichita State University'],['Associate of Arts'],['N/A'],['N/A'],['N/A'],['Advertising & Public Relations'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['02/2014', '06/2010', '09/2006']","['Current', '01/2014', '06/2010']","[['sales', 'marketing', 'consultation', 'inventory'], ['marketing', 'strategy', 'sales', 'presentation'], ['sales', 'graphic design', 'management']]","['New Business Development Manager', 'Inside Sales Manager', 'Inside Sales Manager']","['City, State', 'City, State', 'City, State']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","['budget', 'business strategy', 'consultation', 'customer relationship management', 'delivery', 'direct mail', 'directing', 'driving', 'email', 'senior management', 'forecasting', 'graphic design', 'graphic', 'image', 'inside sales', 'inventory', 'marketing strategy', 'marketing', 'market', 'marketing & sales', 'mentor', 'new business development', 'optimization', 'policies', 'presentations', 'sales', 'strategy']",27,"['graphic design', 'strategy', 'marketing', 'sales', 'consultation', 'management', 'inventory', 'presentation']",0.7833333333333333,Business Development Executive,1.0,High Match,Associate of Arts,Advertising & Public Relations,New Business Development Manager,0,5.0
Seeking for full time position where I can apply my technical knowledge & skills for continuous improvement.,"['MS Office', 'Minitab', 'PowerPoint', 'Excel', 'Solid works', 'AutoCAD', 'Pro E', 'MS Access', 'SAP', 'Java', 'C', 'C++', 'Visual Basic', 'R', 'Python', 'AutoCAD', 'C', 'C++', 'Calibration', 'charts', 'data analysis', 'Database', 'designing', 'documentation', 'Forecasting', 'IMS', 'inspection', 'inventory', 'ISO', 'ISO 9001', 'Java', 'Lean Manufacturing', 'MS Access', 'Excel', 'MS Office', 'PowerPoint', 'Minitab', 'process improvement', 'Programming', 'Python', 'quality', 'safety', 'SAP', 'SAP R/3', 'Scheduling', 'Siemens', 'Solid works', 'SOP', 'Strategy/planning', 'supervising 4', 'Visual Basic', 'reduce waste']","['University of Texas', 'Mumbai University']","['Masters of Science', 'Bachelor of Engineering']","['May 2016', 'July 2013']","['3.5', '3.5']","['GPA', 'GPA']","['Industrial Engineering Production & Inventory management', 'Production Engineering Manufacturing, Planning and Supply Chain']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['May 2015', 'July 2013', 'November 2012']","['January 2016', 'June 2014', 'May 2013']","[['Time Study', 'Lean manufacturing', 'Kaizen', '5S', 'Kanban card process', 'Continues Improvement', 'Ergonomic designing'], ['assembly line management', 'Lean Manufacturing Practices', 'Forecasting', 'safety management'], ['inspection process', 'AutoCAD', 'ProE', 'Gauge Calibration', 'SAP R/3', 'ISO 9001:2008', 'ISO 14001(EMS)', 'IMS', 'HIRA']]","['Industrial Engineering Intern', 'Junior Engineer', 'Intern']","['City, State', 'City', 'City']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","['ms office', 'minitab', 'powerpoint', 'excel', 'solid works', 'autocad', 'pro e', 'ms access', 'sap', 'java', 'c', 'c++', 'visual basic', 'r', 'python', 'autocad', 'c', 'c++', 'calibration', 'charts', 'data analysis', 'database', 'designing', 'documentation', 'forecasting', 'ims', 'inspection', 'inventory', 'iso', 'iso 9001', 'java', 'lean manufacturing', 'ms access', 'excel', 'ms office', 'powerpoint', 'minitab', 'process improvement', 'programming', 'python', 'quality', 'safety', 'sap', 'sap r/3', 'scheduling', 'siemens', 'solid works', 'sop', 'strategy/planning', 'supervising 4', 'visual basic', 'reduce waste']",52,"['sap r/3', 'ims', 'lean manufacturing', 'time study', 'kaizen', 'kanban card process', '5s', 'proe', 'hira', 'gauge calibration', 'lean manufacturing practices', 'safety management', 'continues improvement', 'forecasting', 'iso 9001:2008', 'iso 14001(ems)', 'ergonomic designing', 'inspection process', 'assembly line management', 'autocad']",0.793333333,Site Engineer,1.0,High Match,Masters of Science,Industrial Engineering Production & Inventory management,Industrial Engineering Intern,1,5.0
,"['Business Development & Sales Leadership', 'Sales Presentations', 'Client Development', 'Strategic Planning', 'Market Expansion', 'Team Building & Leadership', 'Client Engagement', 'Market Analysis/Competitive Positioning', 'Sales Forecasting', 'Vendor Sourcing/Relations', 'Change Management', 'Process Improvement', 'Profit Improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'VoIP']",['UNIVERSITY OF COLORADO'],['Bachelor of Arts'],['N/A'],['N/A'],['N/A'],['Business Administration'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['January 2014', 'January 2013', 'January 2009', 'January 2008']","['January 2018', 'N/A', 'January 2013', 'January 2009']","[['strategies', 'sales', 'market share growth', 'client engagement', 'business development', 'market expansion', 'sales techniques', 'vendor relationships', 'logistics', 'staff management', 'DOT compliance'], ['sales activities', 'cold calling', 'qualifying', 'prospecting', 'drilling projects'], ['strategic leadership', 'team management', 'customer service', 'inventory control', 'marketing'], ['sales goals', 'customer service', 'inventory management', 'promotional marketing']]","['Director of Business Development', 'Inside Sales Representative', 'General Manager', 'Assistant Manager']","['City, State', 'City, State', 'City, State', 'City, State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","['business development & sales leadership', 'sales presentations', 'client development', 'strategic planning', 'market expansion', 'team building & leadership', 'client engagement', 'market analysis/competitive positioning', 'sales forecasting', 'vendor sourcing/relations', 'change management', 'process improvement', 'profit improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'voip']",27,"['staff management', 'qualifying', 'vendor relationships', 'inventory management', 'cold calling', 'sales techniques', 'team management', 'customer service', 'sales', 'market share growth', 'promotional marketing', 'market expansion', 'business development', 'client engagement', 'dot compliance', 'strategic leadership', 'sales goals', 'marketing', 'inventory control', 'drilling projects', 'sales activities', 'prospecting', 'logistics', 'strategies']",0.65,Head of Internal Control & Compliance (ICC) - SEVP/DMD,15.0,Mid Match,Bachelor of Arts,Business Administration,Director of Business Development,0,9.0
,"['basic', 'C++', 'CPR certified', 'Data Acquisition', 'designing', 'Digital Design', 'direction', 'documentation', 'Electronics I', 'engineer', 'fashion', 'First Aid', 'HTML programming', 'Intel', 'LabView', 'market', 'materials', 'MatLab', 'Excel', 'MS Office', 'PowerPoint', 'Windows 2000', 'Word', 'Multimeters', 'natural', 'Oscilloscopes', 'Physics', 'Physics I', 'PSpice', 'speaking', 'quality', 'safety', 'Supervisory Control and Data Acquisition', 'schematics', 'SQL', 'Statistics', 'Systems Design I', 'Technical Writing', 'Verilog', 'VHDL', 'VI', 'Web Design']","['Portland State University', 'Southern Oregon University']","['B.S', 'B.S']","['June 2009', 'June 2000']","['N/A', 'N/A']","['N/A', 'N/A']","['Electrical Engineering', 'Biology Chemistry']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['09/2008', '08/2000', '09/2007', '05/2000', '09/1999', '05/1999']","['Current', '09/2008', '06/2008', '09/2000', '03/2000', '10/1999']","[['SQL', 'speaking', 'documentation'], ['maintenance'], ['data acquisition', 'schematics'], ['team-designing', 'testing', 'documentation'], ['planning', 'organizing'], ['preparing', 'analyzing', 'logging']]","['Engineering Tech', 'Manufacturing Technician', 'Senior Capstone Project', 'Research and Development Associate', 'Head Freshmen Basketball Coach', 'Research Assistant']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","['basic', 'c++', 'cpr certified', 'data acquisition', 'designing', 'digital design', 'direction', 'documentation', 'electronics i', 'engineer', 'fashion', 'first aid', 'html programming', 'intel', 'labview', 'market', 'materials', 'matlab', 'excel', 'ms office', 'powerpoint', 'windows 2000', 'word', 'multimeters', 'natural', 'oscilloscopes', 'physics', 'physics i', 'pspice', 'speaking', 'quality', 'safety', 'supervisory control and data acquisition', 'schematics', 'sql', 'statistics', 'systems design i', 'technical writing', 'verilog', 'vhdl', 'vi', 'web design']",42,"['preparing', 'analyzing', 'schematics', 'team-designing', 'logging', 'sql', 'testing', 'organizing', 'speaking', 'planning', 'documentation', 'data acquisition', 'maintenance']",0.716666667,AI Engineer,,Mid Match,B.S,Electrical Engineering,Engineering Tech,1,
,"['Budget development', 'Exceptional interpersonal communication', 'Effective leader', 'Staff training/development', 'Consistently meet goals', 'Efficient multi-tasker', 'Deadline-oriented', 'BASIC', 'COBOL', 'FORTRAN', 'PASCAL', 'Prolith (Modeling)', 'Power Point', 'Word', 'Excel', 'Lotus Notes', 'Statistical Analysis: JMP', 'DOE (design of experiment)', 'PCS', 'SPC++', 'six sigma', 'data view', 'Crystal ball']","['WORCESTER STATE University', 'CENTRAL NEW ENGLAND COLLEGE']","['B.S', 'B.S']","['1991', '1987']","['3.1', '2.89']","['GPA', 'GPA']","['Management information system', 'Electrical engineering technology']","['Company Name', 'Company Name']","[None, None]","['01/2000', '01/1989']","['Current', '06/2000']","[None, None]","['Engineering Manager', 'Application and Marketing Engineer']","['City , State', 'City , State']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['budget development', 'exceptional interpersonal communication', 'effective leader', 'staff training/development', 'consistently meet goals', 'efficient multi-tasker', 'deadline-oriented', 'basic', 'cobol', 'fortran', 'pascal', 'prolith (modeling)', 'power point', 'word', 'excel', 'lotus notes', 'statistical analysis: jmp', 'doe (design of experiment)', 'pcs', 'spc++', 'six sigma', 'data view', 'crystal ball']",23,[],0.816666667,Machine Learning (ML) Engineer,5.0,High Match,B.S,Management information system,Engineering Manager,0,7.0
,"['API', 'Approach', 'ATL', 'Audio', 'backup', 'bridges', 'broadcast', 'C++', 'CLI', 'COM', 'CA', 'Hardware', 'concept', 'Content', 'CSS', 'documentation', 'editing', 'XML', 'FTP', 'drawing', 'GUI', 'hiring', 'HTML5', 'HTTP', 'HR', 'IDs', 'explorer', 'JavaScript', 'json', 'LAN', 'team building', 'MB', 'memory', 'mentoring', 'C#', 'MFC', 'office', 'Windows', 'Window', '2000', 'migration', 'NAS', 'OOP', 'page', 'performance reviews', 'personnel', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'software development', 'team management', 'threads', 'Video', 'Video Editing', 'Visual C++', 'workflow', 'writer']","['Illinois Institute of Technology', 'National Institute of Technology']","['M.S', 'B.E']","[None, None]","['3.9 / 4.0', 'First Class with Distinction']","['GPA', None]","['Computer Science', 'Electronics and Communication Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['September 2009', 'November 2005', 'August 1994', 'August 1994']","['Current', 'August 2009', 'October 2005', 'July 1997']","[['management', 'development', 'Scrum', 'C++', 'HTML5', 'JavaScript'], ['development', 'management', 'C++'], ['C++', 'Windows', 'training'], ['C++', 'Windows']]","['Software Engineering Manager', 'Software Engineering Manager', 'Principal Software Engineer', 'Software Engineer']","['City, State', 'City, State', 'City, State', 'City, State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","['api', 'approach', 'atl', 'audio', 'backup', 'bridges', 'broadcast', 'c++', 'cli', 'com', 'ca', 'hardware', 'concept', 'content', 'css', 'documentation', 'editing', 'xml', 'ftp', 'drawing', 'gui', 'hiring', 'html5', 'http', 'hr', 'ids', 'explorer', 'javascript', 'json', 'lan', 'team building', 'mb', 'memory', 'mentoring', 'c#', 'mfc', 'office', 'windows', 'window', '2000', 'migration', 'nas', 'oop', 'page', 'performance reviews', 'personnel', 'proxy', 'rendering', 'san', 'scrum', 'servers', 'software development', 'team management', 'threads', 'video', 'video editing', 'visual c++', 'workflow', 'writer']",59,"['training', 'scrum', 'html5', 'c++', 'management', 'development', 'javascript', 'windows']",0.783333333,Asst. Manager/ Manger (Administrative),5.0,High Match,M.S,Computer Science,Software Engineering Manager,0,7.0
,"['Project Management', 'Secret Clearance', 'Risk management', 'Performance tracking and evaluation', 'Team building', 'Project analysis', 'Leadership mentoring', 'Business and requirements analysis', 'Operations management', 'Decisive leader']","['University of Maryland University College', 'Strayer University', 'Strayer University']","['Graduate Certificate', 'MBA', 'Bachelor of Science']","['2010', '2004', '2003']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['Project Management', 'Management', 'Internetworking Technologies']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2004', '01/2002', '07/1991']","['Current', '01/2004', '01/2002']","[['Project management', 'Leadership', 'Risk management', 'Business development', 'Process improvement'], ['Technical support', 'Project management', 'Risk management'], ['Leadership', 'Training', 'Logistics']]","['Engineering Specialist', 'Senior Technical Support Specialist', 'Tank Platoon Sergeant']","['City , State', 'City , State', 'City , State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","['project management', 'secret clearance', 'risk management', 'performance tracking and evaluation', 'team building', 'project analysis', 'leadership mentoring', 'business and requirements analysis', 'operations management', 'decisive leader']",10,"['training', 'risk management', 'leadership', 'business development', 'logistics', 'technical support', 'project management', 'process improvement']",0.85,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4.0,High Match,Graduate Certificate,Project Management,Engineering Specialist,0,6.0
"A Software Designer Internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.","['Object-oriented programming', 'manual testing', 'technical report writing', 'Windows XP/Vista', 'Unix', 'Linux', 'Administration of Windows 2000 Server', 'MIPS Assembler', 'Unix Shell Scripts', 'C', 'Java', 'JVS', 'VBS', 'PL/SQL', 'ASP', 'Digital Logic', 'Verilog Hardware Language', 'installation and configuration of peripherals', 'troubleshooting hardware', 'embedded systems', 'robotics', 'MS Office Suite', 'MS Visio', 'MS Project', 'SQL Navigator', 'Remedy', 'Eclipse']","['York University, Toronto']",['Honours Bachelor of Science'],['Expected Spring 2014'],[None],[None],['Computer Science'],"['Future Shop', 'York University']","[None, None]","['2011', '2012']","['Present', '2013']","[['customer service'], ['advising', 'presentation', 'critical reading']]","['Customer Service Representative', 'Academic Resource Advisor']","['Toronto', 'Toronto']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['object-oriented programming', 'manual testing', 'technical report writing', 'windows xp/vista', 'unix', 'linux', 'administration of windows 2000 server', 'mips assembler', 'unix shell scripts', 'c', 'java', 'jvs', 'vbs', 'pl/sql', 'asp', 'digital logic', 'verilog hardware language', 'installation and configuration of peripherals', 'troubleshooting hardware', 'embedded systems', 'robotics', 'ms office suite', 'ms visio', 'ms project', 'sql navigator', 'remedy', 'eclipse']",27,"['customer service', 'presentation', 'advising', 'critical reading']",0.65,Data Engineer,5.0,Mid Match,Honours Bachelor of Science,Computer Science,Customer Service Representative,1,7.0
"To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application.","['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['University of Northern Iowa', 'Hawkeye Community College']","['BS', 'AAS']","['May 2004', 'May 1998']","['N/A', 'N/A']","[None, None]","['Construction Management', 'Civil and Construction Engineering Technology']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['August 2007', 'April 2006', 'May 1998']","['Current', 'August 2007', 'April 2006']","[['Design', 'Drafting', 'Microstation', 'GeoPak', 'ArcView', 'Microsoft Access', 'survey', 'Trimble GPS', 'Topcon Total Station', 'File Maintenance'], ['TOPO graphic surveys', 'land surveys', 'construction surveys', 'Ashtec GPS', 'Trimble 5600 Total Station', 'AutoCad', 'Eagle Point'], ['surveying', 'Trimble GPS', 'Geodimeter total station', 'Environmental Sampling', 'Construction Inspection', 'stream gauging', 'Microstation']]","['Engineering Technician', 'Senior Engineering Technician', 'Engineering Technician']","['City , State', 'City , State', 'City , State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","['arcview', 'autocad', 'drafting', 'gps', 'graphic', 'inspection', 'microsoft access', 'microstation', 'file maintenance', 'repairs', 'supervision', 'surveys', 'utilities']",13,"['file maintenance', 'surveying', 'geodimeter total station', 'trimble gps', 'construction surveys', 'arcview', 'drafting', 'environmental sampling', 'eagle point', 'trimble 5600 total station', 'topcon total station', 'ashtec gps', 'microstation', 'stream gauging', 'design', 'geopak', 'land surveys', 'construction inspection', 'microsoft access', 'topo graphic surveys', 'autocad', 'survey']",0.716666667,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4.0,Mid Match,BS,Construction Management,Engineering Technician,0,6.0
,"['Analytical reasoning', 'Budget forecasting expertise', 'Account reconciliation expert', 'Financial planner', 'Effective time management', 'Advanced computer proficiency (PC and Mac)', 'Strong organizational skills', 'Excellent managerial techniques', 'Microsoft Windows', 'Word', 'Excel', 'PowerPoint', 'Access', 'Adobe', 'Mac iOS', 'QuickBooks Pro 2015/2016/2017', 'Profit Pluss 2k8', 'SAP', 'Lacerte', 'ComplyRight', 'Real Estate P.M.A.S.', 'AppFolio', 'ADP Ezlabor', 'ADP Payroll']","['Andrés Bello Catholic University', 'Andrés Bello Catholic University', 'Saint Anthony of La Florida', 'Fred Pryor Seminars & Career Track', 'KPMG', 'Andrés Bello Catholic University']","['BBA', 'Course', 'High School Diploma', 'Seminar', 'Seminar', 'Seminar']","['2014', '2009', '2008', '2016', '2014', '2013']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['Accounting', 'Informatics Engineering', 'Science', 'California Payroll Law', 'Tax Planning and Prepaid Taxes', 'SAP']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['04/2017', '02/2017', '10/2016', '10/2016', '05/2010']","['Current', 'Current', '04/2017', '04/2017', '08/2016']","[['QuickBooks', 'GAAP'], [], ['Excel'], ['Accounts receivable', 'Audits'], []]","['Accountant', 'Accountant', 'Bookkeeper', 'Controller Assistant', 'Controller']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","['analytical reasoning', 'budget forecasting expertise', 'account reconciliation expert', 'financial planner', 'effective time management', 'advanced computer proficiency (pc and mac)', 'strong organizational skills', 'excellent managerial techniques', 'microsoft windows', 'word', 'excel', 'powerpoint', 'access', 'adobe', 'mac ios', 'quickbooks pro 2015/2016/2017', 'profit pluss 2k8', 'sap', 'lacerte', 'complyright', 'real estate p.m.a.s.', 'appfolio', 'adp ezlabor', 'adp payroll']",24,"['quickbooks', 'gaap', 'accounts receivable', 'excel', 'audits']",0.2833333333333333,Data Science Engineer,2.0,Low Match,BBA,Accounting,Accountant,0,6.0
"Passionate, motivated and highly conjugated towards a building mentality. Perfecting for a better code is always my ideology.","['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']","['Chadrasekhar University, Mangalore']",['B.Sc'],['2018'],[None],[None],['Statistics'],"['Kinsgley Co.', 'CIS IT Services']","[None, None]","['Jul 2019', 'Jun 2018']","['Ongoing', 'May 2019']","[['Machine Learning', 'Data Modeling'], ['Data Structures', 'Data Mining']]","['Automation Engineer', 'Data Engineer']","['N/A', 'N/A']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution","['machine learning', 'data structures', 'data mining', 'data modeling', 'python', 'java programming', 'algorithms']",7,"['data modeling', 'data mining', 'machine learning', 'data structures']",0.62,HR Officer,,Mid Match,B.Sc,Statistics,Automation Engineer,2,
"Fresher, working as a Software Developer and interested in Machine Learning Roles. Familiar with how large scale models are built and data processing is done for large amounts of data. Also well acquainted with the norms of Python development.","['C++', 'Python', 'C', 'Software Developer', 'Prediction Modelling', 'Machine Learning']","['National Institute of Technology (NIT), Hamirpur']",['B.Tech'],['2020'],[None],[None],['Computers'],['SRD Institute'],[None],['Dec 2020'],['Ongoing'],"[['Software Developer', 'Prediction Modelling', 'Machine Learning']]",['Developer Engineer'],[None],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['c++', 'python', 'c', 'software developer', 'prediction modelling', 'machine learning']",6,"['prediction modelling', 'software developer', 'machine learning']",0.65,Data Engineer,5.0,Mid Match,B.Tech,Computers,Developer Engineer,2,7.0
Experienced product development Engineer and manager able to collaborate with cross functional team as well as customers and sales to bring brand new offerings to new markets. Skilled at managing cross functional team for continuous improvements and meeting project deadlines. Offering 6 years of experience in the field.,"['Microsoft Office', 'Microsoft Project', 'Product development', 'Quality', 'Research', 'Six Sigma Green Belt', 'Solid Works', 'Visio', 'Prioritization', 'Personnel management', 'Critical thinking skills', 'Team management', 'Analyst', 'Agency', 'Consulting', 'Cost analysis', 'Critical thinking', 'Designing', 'Dialysis', 'Direction', 'Develop drug', 'Functional', 'IIa', 'ISO', 'Leadership', 'Market and development', 'Design process', 'Product management', 'Researching', 'Sales', 'Six Sigma', 'Validation']",['Temple University'],['Bachelor of Science'],['05/2013'],['N/A'],['N/A'],['Mechanical Engineering'],"['N/A', 'Company Name', 'Company Name']","[None, None, None]","['03/2018', '03/2017', '06/2013']","['Current', '03/2018', '03/2017']","[['Team management', 'Personnel management', 'Quality', 'Product development', 'Research', 'ISO', 'Leadership'], ['Design process', 'Validation', 'Solid Works', 'ISO', 'Product management', 'Quality', 'Research'], ['Design process', 'Validation', 'Research', 'ISO', 'Leadership', 'Product management', 'Quality']]","['Engineering Manager', 'Project Engineer II', 'Engineer I']","['City, State', 'City, State', 'City, State']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","['microsoft office', 'microsoft project', 'product development', 'quality', 'research', 'six sigma green belt', 'solid works', 'visio', 'prioritization', 'personnel management', 'critical thinking skills', 'team management', 'analyst', 'agency', 'consulting', 'cost analysis', 'critical thinking', 'designing', 'dialysis', 'direction', 'develop drug', 'functional', 'iia', 'iso', 'leadership', 'market and development', 'design process', 'product management', 'researching', 'sales', 'six sigma', 'validation']",32,"['personnel management', 'research', 'product development', 'quality', 'design process', 'team management', 'product management', 'solid works', 'validation', 'leadership', 'iso']",0.65,Marketing Officer,1.0,Mid Match,Bachelor of Science,Mechanical Engineering,Engineering Manager,0,5.0
Fresher Computer vision and Machine Learning Engineer looking for a job that is both challenging and fun in terms of problem-solving. Also an expert in maintaining and managing Tableau and Power BI dashboards to address business.,"['Machine learning', 'Deep learning', 'Computer vision', 'Image processing', 'Neural networks', 'Contextual Reasoning']",['IIT Guwahati'],['B.Tech'],['2021'],['N/A'],['N/A'],['Computer Science'],,,,,,,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['machine learning', 'deep learning', 'computer vision', 'image processing', 'neural networks', 'contextual reasoning']",6,[],0.65,Data Engineer,5.0,Mid Match,B.Tech,Computer Science,,2,7.0
